clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
AMEOS Klinikum St. Elisabeth Neuburg,Neuburg an der Donau,,Gesundheits- und (Kinder-) Krankenpfleger (m/w/d) oder Altenpflegekraft (m/w/d) als Dauernachtwache,pflegefachkraft,,Attraktive Vergütung nach AVR deutscher Caritasverband,nein,,,"abgeschlossene Ausbildung Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger, Altenpfleger oder Pflegefachkraft",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ameos.eu/offene-stellen/stelle/8940-gesundheits-und-kinder-krankenpfleger-oder-altenpflegekraft-als-dauernachtwache-in-neuburg-an-der-donau
AMEOS Klinikum St. Elisabeth Neuburg,Neuburg an der Donau,Pflegepool Somatik,Pflegefachkraft (m/w/d) für den Pflegepool Somatik,pflegefachkraft,,Attraktive Vergütung nach AVR deutscher Caritasverband,nein,,,"abgeschlossene Ausbildung Pflegefachkraft, Gesundheits- und Krankenpfleger oder Altenpfleger",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ameos.eu/offene-stellen/stelle/8020-pflegefachkraft-f%C3%BCr-den-pflegepool-somatik-in-neuburg-an-der-donau
AMEOS Klinikum St. Elisabeth Neuburg,Neuburg an der Donau,Kardiologie - Chest Pain Unit,Pflegefachkraft (m/w/d) für die Kardiologie - Chest Pain Unit,pflegefachkraft,,Attraktive Vergütung nach AVR deutscher Caritasverband,nein,,,abgeschlossene Berufsausbildung Gesundheits- und Krankenpfleger oder Pflegefachkraft,,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ameos.eu/offene-stellen/stelle/9873-pflegefachkraft-f%C3%BCr-die-kardiologie-chest-pain-unit-in-neuburg-an-der-donau
AMEOS Klinikum St. Elisabeth Neuburg,Neuburg an der Donau,"Chirurgie (Orthopädie, Unfallchirurgie, Neurochirurgie)",Pflegefachkräfte (m/w/d) für die Chirurgie,pflegefachkraft,,Attraktive Vergütung nach AVR deutscher Caritasverband,nein,,,"abgeschlossene Ausbildung Gesundheits- und (Kinder-)Krankenpfleger, Altenpfleger oder Pflegefachkraft | versierter Umgang mit klinikspezifischen EDV-Systemen",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://karriere.ameos.eu/offene-stellen/stelle/8928-pflegefachkr%C3%A4fte-f%C3%BCr-die-chirurgie-in-neuburg-an-der-donau
AMEOS Klinikum St. Elisabeth Neuburg - Kinder- und Jugendmedizin Standort Ingolstadt,Ingolstadt,Pädiatrie und Kinder- und Jugendpsychiatrie (KJP),Pflegerische Bereichsleitung (m/w/d) - Pädiatrie und Kinder- und Jugendpsychiatrie (KJP),leitung,,,nein,,in Vollzeit; ab sofort,"Ausbildung als Pflegefachkraft, Gesundheits- und Kinderkrankenpfleger, Gesundheits- und Krankenpfleger oder vergleichbare Qualifikation","Mehrjährige Berufserfahrung in der Pädiatrie, Kinder- und Jugendpsychiatrie; Führungserfahrung idealerweise als Stationsleitung/Bereichsleitung",2,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate,https://karriere.ameos.eu/offene-stellen/stelle/9882-pflegerische-bereichsleitung-p%C3%A4diatrie-und-kinder-und-jugendpsychiatrie-kjp-in-neuburg-an-der-donau
Adula Klinik,Oberstdorf,,PFLEGEFACHKRAFT / GESUNDHEITS- und KRANKENPFLEGER (m/w/d) Standort: Oberstdorf (Adula Klinik),pflegefachkraft,,,unklar,,,"abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger, Altenpfleger, Kinderkrankenpfleger, Heilerziehungspfleger oder Pflegefachmann (m/w/d) | psychiatrische oder psychosomatische Weiterbildung nicht zwingend erforderlich | strukturierte, eigenverantwortliche und selbstständige Arbeitsweise | Sensibilität und Begeisterung für die Arbeit mit Menschen, die sich in Lebenskrisen befinden",,5,"pay_text auf der Seite nicht gefunden, geleert",https://www.reisach-kliniken.de/position?id=e9ab29ae-4a90-40ca-8828-1a96e8c3a189
Alpenklinik Santa Maria,Bad Hindelang,Rehabilitation,Gesundheits- und (Kinder-) Krankenpfleger m/w/d,pflegefachkraft,,Sicherer Vergütung nach Tarifvertrag (AVR) inkl. Sonderzahlungen (z.B. Urlaubs- und Weihnachtsgeld),ja,Personalwohnungen (bei Verfügbarkeit),vollzeit_teilzeit,"Sie verfügen über eine abgeschlossene Ausbildung im Bereich der Gesundheits- und Kinderkrankenpflege oder Krankenpflege | – gerne auch als Wiedereinsteiger in den Pflegeberuf | Sie engagieren sich gerne für Kinder und Jugendliche. | Sie verfügen über hohes Verantwortungsbewusstsein, Flexibilität und eine strukturierte Arbeitsweise | Als Teamplayer mit Herz, Verstand und Gefühl wollen Sie gemeinsam mit uns die Zukunft unserer Einrichtung gestalten | Sie zeichnet hohe Fach- und Sozialkompetenz und selbständiges, strukturiertes Arbeiten aus | Bereitschaft zur Schicht- und Wochenendarbeit",,5,,https://santa-maria.softgarden.io/job/65927969/Gesundheits-und-Kinder-Krankenpfleger-m-w-d-?jobDbPVId=278274239&l=de
Arabella-Klinik,München,Stationsdienst,Gesundheits- und Krankenpfleger / GuK ǀ Krankenschwester (m/w/d),pflegefachkraft,,Willkommensprämie von 7.500 € für examinierte Pflegefachkräfte; Attraktives Gehalt,ja,Mitarbeitervergünstigungen: Möglichkeit zur Wohnungsvermittlung (Arabellahaus),Teilzeit / Vollzeit,"Ausbildung im Gesundheitswesen mit Examen (GuK, Krankenschwester) | Deutschkenntnisse mindestens B2-Niveau",vorzugsweise mehrjährige Berufserfahrung,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://anest.de/karriere-100-2001-20260427-ak-guk-stationsdienst-har.html
Arabella-Klinik,München,"Operationsdienst (Orthopädie, HNO, MKG, plast. Chirurgie, Viszeralchirurgie, Ophthalmologie)",Gesundheits- und Krankenpfleger OP / GuK ǀ OTA (m/w/d),ota_ata,,,ja,Mitarbeitervergünstigungen: Möglichkeit zur Wohnungsvermittlung (Arabellahaus),Teilzeit / Vollzeit,"Ausbildung als GuK (gerne mit Fachweiterbildung für den OP), OTA, OP-Schwester | B2 Deutsch",(Mehrjährige) Berufserfahrung wünschenswert,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://anest.de/karriere-100-5001-20241114-ak-guk-ota-vs.html
Arabella-Klinik,München,Augen-OP / Augenheilkunde,MFA (m/w/d) im Operationsdienst Augenheilkunde (Augen-OP) / Gesundheits- und Krankenpflegerin / OTA (m/w/d),ota_ata,,,ja,Mitarbeitervergünstigungen: Möglichkeit zur Wohnungsvermittlung (Arabellahaus),Teilzeit / Vollzeit,"Ausbildung im Gesundheitswesen (MFA, GuK) mit OP-Erfahrung oder GuK mit Fachweiterbildung Operationsdienst oder OTA | B2 Deutsch",,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://anest.de/karriere-100-5001-20220920-ak-guk-ota-vs-01.html
Arberlandklinik Viechtach,Viechtach,OP,Operationstechnischer Assistent (m/w/d),ota_ata,P8,"Entgeltgruppe EG P8 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,vollzeit,abgeschlossene Ausbildung zum Operationstechnischen Assistenten oder Pflegefachmann | Ruf- und Bereitschaftsdienst,,4,Klinik nach Anzeigenort korrigiert,https://bewerbung.arberlandkliniken.de/jobposting/0f7242114690d434e60442602c8f20b01c2a55820
Arberlandklinik Viechtach,Viechtach,Innere Medizin mit Schwerpunkt Geriatrie (Station 3),Pflegefachmann (m/w/d) Innere Medizin mit Schwerpunkt Geriatrie,pflegefachkraft,P7,"Entgeltgruppe EG P7 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Pflegefachmann/-frau oder vergleichbarer Berufsabschluss | Schicht- und Wochenendarbeit,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.arberlandkliniken.de/jobposting/ad4e193a2e0e7fb2c400fbdfc5e759b575433e950
